iter	Passed	Remaining
0	1	137
1	2	117
2	3	109
3	4	103
4	5	100
5	6	98
6	7	96
7	8	94
8	9	93
9	10	91
10	11	89
11	12	88
12	12	86
13	13	85
14	14	84
15	15	82
16	16	81
17	17	80
18	18	79
19	19	78
20	20	78
21	21	77
22	22	76
23	23	75
24	24	73
25	25	72
26	26	71
27	27	71
28	28	70
29	30	70
30	31	69
31	32	68
32	33	67
33	34	66
34	35	65
35	36	65
36	37	64
37	38	63
38	39	62
39	40	61
40	41	60
41	42	58
42	43	57
43	44	56
44	45	55
45	46	54
46	47	53
47	48	52
48	49	51
49	50	50
50	51	49
51	52	48
52	53	47
53	54	46
54	55	45
55	56	44
56	57	43
57	58	42
58	59	41
59	60	40
60	61	39
61	62	38
62	63	37
63	64	36
64	65	35
65	66	34
66	67	33
67	68	32
68	69	31
69	70	30
70	71	29
71	72	28
72	73	27
73	74	26
74	75	25
75	76	24
76	77	23
77	78	22
78	79	21
79	80	20
80	81	19
81	82	18
82	83	17
83	84	16
84	85	15
85	86	14
86	87	13
87	88	12
88	89	11
89	90	10
90	91	9
91	92	8
92	93	7
93	95	6
94	96	5
95	97	4
96	97	3
97	98	2
98	99	1
99	100	0
